fecha,macrosector_id,ocupados_miles,var_empleo_anual,macrosector
2015-01,M01,3096.485,,Agropecuario
2015-02,M01,3579.283,,Agropecuario
2015-03,M01,3325.637,,Agropecuario
2015-04,M01,3068.515,,Agropecuario
2015-05,M01,3021.803,,Agropecuario
2015-06,M01,3554.813,,Agropecuario
2015-07,M01,3253.274,,Agropecuario
2015-08,M01,3437.295,,Agropecuario
2015-09,M01,3325.802,,Agropecuario
2015-10,M01,3662.783,,Agropecuario
2015-11,M01,3525.943,,Agropecuario
2015-12,M01,3524.699,,Agropecuario
2016-01,M01,2996.536,-3.2278,Agropecuario
2016-02,M01,3513.706,-1.8321,Agropecuario
2016-03,M01,3279.8,-1.3783,Agropecuario
2016-04,M01,3245.84,5.7789,Agropecuario
2016-05,M01,3032.94,0.3686,Agropecuario
2016-06,M01,3658.698,2.9224,Agropecuario
2016-07,M01,3351.815,3.029,Agropecuario
2016-08,M01,3657.261,6.3994,Agropecuario
2016-09,M01,3202.968,-3.6934,Agropecuario
2016-10,M01,3576.084,-2.367,Agropecuario
2016-11,M01,3463.583,-1.7686,Agropecuario
2016-12,M01,3411.378,-3.2151,Agropecuario
2017-01,M01,3173.963,5.9211,Agropecuario
2017-02,M01,3520.24,0.186,Agropecuario
2017-03,M01,3568.706,8.8086,Agropecuario
2017-04,M01,3329.975,2.5921,Agropecuario
2017-05,M01,3374.501,11.2617,Agropecuario
2017-06,M01,3736.967,2.1393,Agropecuario
2017-07,M01,3619.241,7.9785,Agropecuario
2017-08,M01,3740.485,2.2756,Agropecuario
2017-09,M01,3521.034,9.9304,Agropecuario
2017-10,M01,3682.852,2.9856,Agropecuario
2017-11,M01,3750.652,8.2882,Agropecuario
2017-12,M01,3543.035,3.8593,Agropecuario
2018-01,M01,3426.818,7.9665,Agropecuario
2018-02,M01,3646.026,3.5732,Agropecuario
2018-03,M01,3651.371,2.3164,Agropecuario
2018-04,M01,3333.661,0.1107,Agropecuario
2018-05,M01,3267.835,-3.1609,Agropecuario
2018-06,M01,3725.397,-0.3096,Agropecuario
2018-07,M01,3384.806,-6.4775,Agropecuario
2018-08,M01,3864.829,3.3243,Agropecuario
2018-09,M01,3458.605,-1.773,Agropecuario
2018-10,M01,3724.499,1.1308,Agropecuario
2018-11,M01,3682.216,-1.8246,Agropecuario
2018-12,M01,3695.518,4.3037,Agropecuario
2019-01,M01,3302.636,-3.6238,Agropecuario
2019-02,M01,3588.349,-1.5819,Agropecuario
2019-03,M01,3202.772,-12.2858,Agropecuario
2019-04,M01,2941.998,-11.7487,Agropecuario
2019-05,M01,3119.05,-4.553,Agropecuario
2019-06,M01,3794.454,1.8537,Agropecuario
2019-07,M01,3276.187,-3.209,Agropecuario
2019-08,M01,3564.911,-7.7602,Agropecuario
2019-09,M01,3258.866,-5.7751,Agropecuario
2019-10,M01,3711.118,-0.3593,Agropecuario
2019-11,M01,3434.726,-6.7212,Agropecuario
2019-12,M01,3589.469,-2.8697,Agropecuario
2020-01,M01,3109.415,-5.8505,Agropecuario
2020-02,M01,3295.708,-8.1553,Agropecuario
2020-03,M01,3116.286,-2.7003,Agropecuario
2020-04,M01,2750.4187419906357,-6.5119,Agropecuario
2020-05,M01,2750.4187419906357,-11.8187,Agropecuario
2020-06,M01,3230.486,-14.863,Agropecuario
2020-07,M01,3104.007,-5.2555,Agropecuario
2020-08,M01,3597.625,0.9177,Agropecuario
2020-09,M01,3238.091,-0.6375,Agropecuario
2020-10,M01,3444.945,-7.1723,Agropecuario
2020-11,M01,3288.503,-4.2572,Agropecuario
2020-12,M01,3396.962,-5.3631,Agropecuario
2021-01,M01,3057.416,-1.6723,Agropecuario
2021-02,M01,2992.547,-9.1987,Agropecuario
2021-03,M01,3233.068,3.7475,Agropecuario
2021-04,M01,2908.205,5.7368,Agropecuario
2021-05,M01,3208.204,16.6442,Agropecuario
2021-06,M01,3098.223,-4.0942,Agropecuario
2021-07,M01,3317.856,6.8894,Agropecuario
2021-08,M01,3163.239,-12.0742,Agropecuario
2021-09,M01,2976.337,-8.0836,Agropecuario
2021-10,M01,3268.895,-5.1104,Agropecuario
2021-11,M01,3167.89,-3.6677,Agropecuario
2021-12,M01,3160.651,-6.9565,Agropecuario
2022-01,M01,2963.324,-3.0775,Agropecuario
2022-02,M01,3127.545,4.5111,Agropecuario
2022-03,M01,3328.091,2.9391,Agropecuario
2022-04,M01,3080.509,5.9248,Agropecuario
2022-05,M01,3549.779,10.6469,Agropecuario
2022-06,M01,3264.137,5.3551,Agropecuario
2022-07,M01,3288.231,-0.8929,Agropecuario
2022-08,M01,3135.228,-0.8855,Agropecuario
2022-09,M01,3249.797,9.1878,Agropecuario
2022-10,M01,3399.21,3.9865,Agropecuario
2022-11,M01,3234.767,2.1111,Agropecuario
2022-12,M01,3069.013,-2.8993,Agropecuario
2023-01,M01,2957.257,-0.2047,Agropecuario
2023-02,M01,3262.291,4.3084,Agropecuario
2023-03,M01,3511.557,5.5126,Agropecuario
2023-04,M01,3264.656,5.9778,Agropecuario
2023-05,M01,3456.384,-2.631,Agropecuario
2023-06,M01,3255.977,-0.25,Agropecuario
2023-07,M01,3348.769,1.8411,Agropecuario
2023-08,M01,3313.346,5.6812,Agropecuario
2023-09,M01,3151.631,-3.0207,Agropecuario
2023-10,M01,3402.603,0.0998,Agropecuario
2023-11,M01,3326.527,2.8367,Agropecuario
2023-12,M01,3114.109,1.4694,Agropecuario
2024-01,M01,3201.514,8.2596,Agropecuario
2024-02,M01,3228.219,-1.0444,Agropecuario
2024-03,M01,3304.475,-5.8972,Agropecuario
2024-04,M01,3155.868,-3.3323,Agropecuario
2024-05,M01,3435.331,-0.6091,Agropecuario
2024-06,M01,3272.395,0.5042,Agropecuario
2024-07,M01,3378.581,0.8902,Agropecuario
2024-08,M01,3389.915,2.3109,Agropecuario
2024-09,M01,3248.99,3.0892,Agropecuario
2024-10,M01,3349.127,-1.5716,Agropecuario
2024-11,M01,3286.019,-1.2177,Agropecuario
2024-12,M01,3150.754,1.1767,Agropecuario
2025-01,M01,3217.921,0.5125,Agropecuario
2025-02,M01,3358.818,4.0455,Agropecuario
2025-03,M01,3685.342,11.5258,Agropecuario
2025-04,M01,3180.167,0.77,Agropecuario
2025-05,M01,3501.129,1.9153,Agropecuario
2025-06,M01,3320.82,1.4798,Agropecuario
2025-07,M01,3442.06,1.8789,Agropecuario
2025-08,M01,3153.047,-6.9874,Agropecuario
2025-09,M01,3370.941,3.7535,Agropecuario
