fecha,icco
2015-01,22.7
2015-02,21.4
2015-03,20.3
2015-04,18.1
2015-05,18.7
2015-06,20.6
2015-07,18.2
2015-08,17.8
2015-09,20.9
2015-10,20.5
2015-11,18.7
2015-12,23.5
2016-01,19.5
2016-02,25.4
2016-03,25.5
2016-04,26.0
2016-05,28.5
2016-06,22.9
2016-07,24.2
2016-08,30.1
2016-09,23.5
2016-10,20.7
2016-11,22.6
2016-12,20.3
2017-01,24.8
2017-02,23.2
2017-03,18.6
2017-04,17.8
2017-05,15.3
2017-06,14.9
2017-07,14.7
2017-08,17.5
2017-09,15.8
2017-10,18.2
2017-11,18.6
2017-12,21.4
2018-01,21.8
2018-02,20.5
2018-03,24.6
2018-04,28.7
2018-05,27.0
2018-06,30.7
2018-07,29.5
2018-08,26.6
2018-09,28.6
2018-10,26.8
2018-11,28.0
2018-12,29.3
2019-01,29.3
2019-02,31.8
2019-03,27.5
2019-04,29.7
2019-05,26.3
2019-06,27.8
2019-07,25.8
2019-08,29.1
2019-09,27.4
2019-10,24.9
2019-11,27.0
2019-12,29.7
2020-01,32.3
2020-02,28.3
2020-03,-30.8
2020-04,-25.5
2020-05,-9.2
2020-06,-3.0
2020-07,7.1
2020-08,13.8
2020-09,22.2
2020-10,24.2
2020-11,26.2
2020-12,23.0
2021-01,32.0
2021-02,34.2
2021-03,38.7
2021-04,25.6
2021-05,32.5
2021-06,37.2
2021-07,35.8
2021-08,43.5
2021-09,40.3
2021-10,41.7
2021-11,41.5
2021-12,41.3
2022-01,39.5
2022-02,37.4
2022-03,35.5
2022-04,39.0
2022-05,39.0
2022-06,33.7
2022-07,30.7
2022-08,26.9
2022-09,23.4
2022-10,17.0
2022-11,19.2
2022-12,22.6
2023-07,21.7
2023-08,12.4
2023-09,15.1
2023-10,14.7
2023-11,12.3
2023-12,16.6
2024-01,14.5
2024-02,10.9
2024-03,14.1
2024-04,15.3
2024-05,12.5
2024-06,8.6
2024-07,17.0
2024-08,13.8
2024-09,12.2
2024-10,17.8
2024-11,17.6
2024-12,20.6
2025-01,21.6
2025-02,24.5
2025-03,21.8
2025-04,24.9
2025-05,21.0
2025-06,24.0
2025-07,27.2
2025-08,26.5
2025-09,20.4
2025-10,22.1
2025-11,22.3
2025-12,17.8
2026-01,26.0
2026-02,22.6
2026-03,22.8
