fecha,macrosector_id,macrosector,ise_var_anual,ipc_var_anual,tpm,var_empleo_anual,ipp_var_anual,trm,trm_var_anual,ipc_var_Alimentos,ipc_var_Alojamiento,ipc_var_Bebidas_alc,ipc_var_Bienes_div,ipc_var_Educacion,ipc_var_Info_Com,ipc_var_Muebles,ipc_var_Vestuario,ipc_var_Recreacion,ipc_var_Restaurantes,ipc_var_Salud,ipc_var_Transporte,ipc_var_Total,ici,icco,costo_var,eoe_val,trm_ajustado,ise_norm,emp_norm,costo_norm,tpm_norm,trm_norm,eoe_norm,icds,estado,estado_nombre,vulnerabilidad
2015-01,M01,Agropecuario,2.9601,,4.5,,,2397.2581,,,,,,,,,,,,,,,0.8,22.7,,,,0.5,,,0.79,,,0.7094,S2,Crecimiento,Moderada
2015-02,M01,Agropecuario,2.2221,,4.5,,,2420.6725,,,,,,,,,,,,,,,7.3,21.4,,,,0.41,,,0.79,,,0.6844,S2,Crecimiento,Moderada
2015-03,M01,Agropecuario,3.7479,,4.5,,,2585.3623,,,,,,,,,,,,,,,4.1,20.3,,,,0.58,,,0.79,,,0.7316,S2,Crecimiento,Moderada
2015-04,M01,Agropecuario,4.1047,,4.5,,,2505.248,,,,,,,,,,,,,,,-0.1,18.1,,,,0.6,,,0.79,,,0.7372,S2,Crecimiento,Moderada
2015-05,M01,Agropecuario,1.4892,,4.5,,,2437.5352,,,,,,,,,,,,,,,0.9,18.7,,,,0.28,,,0.79,,,0.6483,S2,Crecimiento,Moderada
2015-06,M01,Agropecuario,3.7214,,4.5,,,2562.4777,,,,,,,,,,,,,,,0.1,20.6,,,,0.57,,,0.79,,,0.7289,S2,Crecimiento,Moderada
2015-07,M01,Agropecuario,5.7183,,4.5,,,2732.0358,,,,,,,,,,,,,,,0.1,18.2,,,,0.72,,,0.79,,,0.7705,S2,Crecimiento,Moderada
2015-08,M01,Agropecuario,8.1115,,4.5,,,3012.5874,,,,,,,,,,,,,,,2.9,17.8,,,,0.85,,,0.79,,,0.8067,S1,Aceleración,Baja
2015-09,M01,Agropecuario,7.1254,,4.525,,,3066.408,,,,,,,,,,,,,,,6.3,20.9,,,,0.79,,,0.69,,,0.7178,S2,Crecimiento,Moderada
2015-10,M01,Agropecuario,3.3517,,4.75,,,2929.4723,,,,,,,,,,,,,,,2.1,20.5,,,,0.55,,,0.67,,,0.6367,S2,Crecimiento,Moderada
