fecha,ipc_var_Alimentos,ipc_var_Alojamiento,ipc_var_Bebidas_alc,ipc_var_Bienes_div,ipc_var_Educacion,ipc_var_Info_Com,ipc_var_Muebles,ipc_var_Vestuario,ipc_var_Recreacion,ipc_var_Restaurantes,ipc_var_Salud,ipc_var_Transporte,ipc_var_Total
2019-12,5.8007,3.458,5.4775,2.9535,5.7531,2.7329,2.5439,0.6908,3.6989,4.2302,2.8192,3.4123,3.8043
2020-01,5.1341,3.2458,5.3925,2.874,5.7527,1.6637,2.5962,1.0742,3.7168,3.9382,3.043,3.7552,3.6223
2020-02,5.8704,3.4514,4.829,2.6671,6.0642,1.6873,2.551,1.3054,3.409,3.7184,3.7315,3.2395,3.7201
2020-03,7.1936,3.3344,4.0861,2.8208,6.0546,1.847,2.483,1.373,3.5475,3.9095,4.0827,2.7767,3.8559
2020-04,8.2264,3.0095,3.3712,2.7425,5.9734,-1.8852,2.0855,0.9004,3.2331,3.5859,4.2906,1.6267,3.5064
2020-05,7.5726,2.37,2.8464,2.5016,5.9638,-4.8875,0.0389,0.327,3.0745,3.3717,4.4804,1.1417,2.8541
2020-06,6.5475,1.7446,2.8017,2.1302,5.9641,-4.8302,-0.7439,-1.8294,2.3617,3.2301,4.5273,0.1479,2.1933
2020-07,5.0035,1.7284,2.949,2.3449,5.9641,-5.1644,-0.7905,-1.6897,1.8874,3.5564,4.9514,0.1211,1.9712
2020-08,4.6619,1.6368,3.3567,2.6894,2.1623,-1.5755,-0.8795,-2.8818,2.3255,3.4075,5.3695,0.2901,1.8781
2020-09,4.1342,1.9451,3.685,2.7623,-1.5591,0.953,-0.8375,-2.7514,2.7444,3.3516,5.3759,1.0712,1.9674
2020-10,3.5426,1.6865,3.5131,2.5104,-4.0331,0.8832,-0.7534,-2.9177,2.3247,3.4769,5.0929,1.8403,1.7481
2020-11,4.0915,1.495,3.2218,2.6056,-5.0188,0.4753,-1.1706,-6.6224,1.3972,3.4372,5.0065,1.7081,1.4895
2020-12,4.797,1.8145,2.6141,2.5163,-7.0185,-0.1027,-0.9567,-3.9364,0.6799,3.4267,4.962,1.3491,1.6104
2021-01,5.5117,1.8986,2.3943,2.1764,-7.0185,-0.6419,-1.2093,-4.5387,-0.6269,3.2032,4.6222,1.3494,1.5972
2021-02,5.0185,1.6979,2.1959,2.431,-8.1023,-0.6316,-0.6101,-3.1021,-0.046,3.357,4.5557,1.6968,1.5631
2021-03,3.9204,1.8398,2.4382,2.1437,-7.9059,-1.5026,-0.6141,-2.705,-0.2033,3.6096,4.3762,2.209,1.5066
2021-04,3.9764,2.1263,2.8344,2.2739,-7.1235,0.3726,-0.3147,-2.6814,-0.1635,3.8318,4.2837,3.5161,1.9478
2021-05,9.5176,2.5758,2.7687,2.6395,-7.1063,0.3199,1.7292,-2.3274,-0.0273,4.76,4.124,4.3443,3.2957
2021-06,8.5155,3.1817,2.8041,3.1513,-7.1065,0.1095,2.6799,-0.2499,0.1832,5.5173,4.021,5.0024,3.6348
2021-07,9.8111,3.343,2.9398,3.2518,-7.1065,0.0174,2.9177,0.022,0.5192,6.0742,3.721,4.9775,3.9701
2021-08,11.4953,3.4693,2.8341,3.0382,-3.1617,-3.6289,3.276,1.1025,0.5441,6.9304,3.2619,5.0552,4.441
2021-09,12.3974,3.3517,3.1047,3.1331,-2.6899,-5.9514,3.549,0.9222,1.331,7.2211,3.4625,4.8079,4.5102
2021-10,13.7595,3.7171,3.4555,3.6478,-0.2867,-12.231,3.8142,-2.437,1.0596,7.5458,3.9075,4.3903,4.5835
2021-11,15.337,3.8898,3.7411,3.8079,0.7481,-11.7485,4.4246,0.6847,1.0802,8.245,4.0774,4.9137,5.2589
2021-12,17.2344,3.6773,4.6015,4.1855,2.757,-12.0975,4.337,-2.5978,1.0372,8.8327,3.9842,5.6897,5.6227
2022-01,19.9444,4.0217,5.1456,5.1416,2.757,-11.8446,7.118,1.7477,2.4628,10.7251,4.6767,6.8982,6.9446
2022-02,23.297,4.4729,5.6266,5.8117,3.6662,-11.7306,8.8595,1.1542,2.4753,12.4084,5.289,7.4365,8.0052
2022-03,25.3653,4.3558,6.0452,6.7215,3.7234,-11.1415,10.5277,-1.1037,3.0292,13.5534,5.9804,7.3751,8.5279
2022-04,26.1691,4.7539,6.2282,7.3711,2.847,-10.0094,11.7626,2.2258,4.1798,14.3683,6.4524,7.6788,9.2341
2022-05,21.5992,5.3623,6.701,8.0479,2.9668,-7.1142,12.3147,2.7023,4.3884,14.7341,6.8098,7.6148,9.0668
2022-06,23.6494,5.8754,6.8449,8.4166,2.9668,-7.0854,13.0002,-0.0286,4.9781,15.1671,7.0261,8.3345,9.6738
2022-07,24.6142,6.1339,6.8024,8.654,2.9668,-6.8968,13.5832,3.3788,4.9019,15.2017,7.6811,9.1176,10.2058
2022-08,25.5655,6.7367,6.8626,10.0138,2.5148,-6.6575,14.7474,3.7662,5.3261,15.7277,8.2061,9.481,10.836
2022-09,26.6245,6.9162,6.9128,10.8119,5.7652,-6.6482,16.1958,5.0548,5.2428,16.2712,8.24,9.5919,11.4399
2022-10,27.022,7.0371,7.0206,11.4845,5.8213,0.2107,16.7436,9.0652,6.4046,16.5497,8.4509,10.234,12.2218
2022-11,27.0819,6.8634,7.6796,12.2012,5.819,0.1776,17.3268,10.1062,7.9574,16.8355,8.7914,11.1934,12.5315
2022-12,27.8099,6.939,8.3744,13.0924,5.9816,0.2512,18.2538,11.2224,8.3579,18.5372,9.5336,11.5916,13.1225
2023-01,26.177,6.968,9.1801,13.8029,5.9816,0.1991,17.5225,7.3394,9.3286,19.3591,10.2951,13.9231,13.252
2023-02,24.1399,7.2197,9.7408,14.6069,10.0641,0.0879,16.8841,7.0293,9.7189,18.7656,10.3845,14.8931,13.279
2023-03,21.8102,7.6771,10.2259,15.3187,9.9886,0.3157,16.4709,9.7667,10.432,18.6669,10.8619,16.034,13.3443
2023-04,18.4716,8.0333,11.046,15.2553,10.0982,0.2118,15.969,7.1749,9.6235,18.6025,11.0526,16.7468,12.8229
2023-05,15.6606,8.135,11.5826,14.6782,9.9197,0.3213,15.5329,7.2309,9.2327,18.0134,11.3131,17.8188,12.3603
2023-06,14.3113,8.067,11.7035,14.3813,9.9253,0.6018,14.6121,10.5298,8.6593,17.4262,11.2605,18.1887,12.1296
2023-07,13.242,8.1351,11.9574,13.8563,9.9402,0.4932,14.0082,7.1856,8.6766,17.2495,10.8911,18.3225,11.7849
2023-08,12.4434,7.9747,12.9266,12.6453,10.1709,0.452,12.8239,6.9842,9.131,16.1805,10.3763,18.5864,11.4273
2023-09,11.4743,7.7922,13.3284,12.0548,11.2505,0.4266,11.3554,5.791,8.5955,15.3212,10.3295,18.5621,10.9943
2023-10,10.3647,7.7361,13.2656,11.6241,11.4029,0.4325,10.5574,5.7537,8.2272,14.7409,10.0535,17.2639,10.4786
