fecha,ipc_var_anual
2019-12,5.8007
2020-01,5.1341
2020-02,5.8704
2020-03,7.1936
2020-04,8.2264
2020-05,7.5726
2020-06,6.5475
2020-07,5.0035
2020-08,4.6619
2020-09,4.1342
2020-10,3.5426
2020-11,4.0915
2020-12,4.797
2021-01,5.5117
2021-02,5.0185
2021-03,3.9204
2021-04,3.9764
2021-05,9.5176
2021-06,8.5155
2021-07,9.8111
2021-08,11.4953
2021-09,12.3974
2021-10,13.7595
2021-11,15.337
2021-12,17.2344
2022-01,19.9444
2022-02,23.297
2022-03,25.3653
2022-04,26.1691
2022-05,21.5992
2022-06,23.6494
2022-07,24.6142
2022-08,25.5655
2022-09,26.6245
2022-10,27.022
2022-11,27.0819
2022-12,27.8099
2023-01,26.177
2023-02,24.1399
2023-03,21.8102
2023-04,18.4716
2023-05,15.6606
2023-06,14.3113
2023-07,13.242
2023-08,12.4434
2023-09,11.4743
2023-10,10.3647
2023-11,8.2458
2023-12,4.9999
2024-01,2.9628
2024-02,1.8899
2024-03,1.7334
2024-04,2.9844
2024-05,4.3992
2024-06,5.266
2024-07,5.2599
2024-08,3.3784
2024-09,2.7328
2024-10,1.7474
2024-11,2.3447
2024-12,3.3149
2025-01,4.4939
2025-02,4.5632
2025-03,4.6724
2025-04,4.6068
2025-05,4.7059
2025-06,4.3145
2025-07,4.9444
2025-08,6.132
2025-09,6.2051
2025-10,6.6446
2025-11,5.7401
2025-12,5.0721
2026-01,5.1082
2026-02,5.8357
2026-03,6.2705
2026-04,6.7057
