fecha,macrosector_id,ipp_idx,ipp_var_anual
2016-01,M01,119.39,18.0676
2016-02,M01,121.56,17.9049
2016-03,M01,121.18,14.7103
2016-04,M01,122.56,18.2099
2016-05,M01,125.29,23.0505
2016-06,M01,126.85,24.5214
2016-07,M01,127.6,24.4392
2016-08,M01,118.43,12.651
2016-09,M01,116.91,8.8446
2016-10,M01,116.59,5.8562
2016-11,M01,116.96,4.5219
2016-12,M01,116.76,1.0472
2017-01,M01,118.57,-0.6868
2017-02,M01,117.65,-3.2165
2017-03,M01,118.39,-2.3024
2017-04,M01,118.11,-3.6309
2017-05,M01,117.45,-6.2575
2017-06,M01,117.11,-7.6784
2017-07,M01,116.98,-8.3229
2017-08,M01,117.03,-1.1821
2017-09,M01,115.35,-1.3344
2017-10,M01,116.19,-0.3431
2017-11,M01,117.34,0.3249
2017-12,M01,117.77,0.865
2018-01,M01,118.56,-0.0084
2018-02,M01,118.78,0.9605
2018-03,M01,119.91,1.2839
2018-04,M01,118.52,0.3471
2018-05,M01,117.68,0.1958
2018-06,M01,117.57,0.3928
2018-07,M01,116.58,-0.3419
2018-08,M01,116.95,-0.0684
2018-09,M01,118.98,3.1469
2018-10,M01,120.65,3.8385
2018-11,M01,121.39,3.4515
2018-12,M01,123.2,4.6107
2019-01,M01,125.42,5.7861
2019-02,M01,123.95,4.3526
2019-03,M01,125.89,4.9871
2019-04,M01,127.72,7.7624
2019-05,M01,129.13,9.7298
2019-06,M01,130.99,11.4145
2019-07,M01,131.46,12.7638
2019-08,M01,132.04,12.9029
2019-09,M01,134.41,12.9686
2019-10,M01,135.51,12.3166
2019-11,M01,132.62,9.2512
2019-12,M01,131.15,6.4529
2020-01,M01,130.91,4.3773
2020-02,M01,133.0,7.3013
2020-03,M01,141.37,12.2964
2020-04,M01,143.54,12.3865
2020-05,M01,142.42,10.292
2020-06,M01,138.23,5.5271
2020-07,M01,137.65,4.7087
2020-08,M01,138.44,4.847
2020-09,M01,141.08,4.9624
2020-10,M01,142.1,4.8631
2020-11,M01,142.54,7.48
2020-12,M01,143.33,9.2871
2021-01,M01,147.45,12.6346
2021-02,M01,150.38,13.0677
2021-03,M01,156.2,10.4902
2021-04,M01,160.21,11.6135
2021-05,M01,171.03,20.0885
2021-06,M01,165.66,19.8437
2021-07,M01,167.58,21.7436
2021-08,M01,169.82,22.6669
2021-09,M01,171.45,21.5268
2021-10,M01,174.44,22.7586
2021-11,M01,180.16,26.3926
2021-12,M01,191.57,33.6566
2022-01,M01,210.24,42.5839
2022-02,M01,225.18,49.7407
2022-03,M01,227.22,45.4673
2022-04,M01,231.83,44.7038
2022-05,M01,225.95,32.1113
2022-06,M01,228.39,37.8667
2022-07,M01,230.21,37.3732
2022-08,M01,233.97,37.7753
2022-09,M01,239.1,39.4576
2022-10,M01,243.73,39.7214
2022-11,M01,246.77,36.9727
2022-12,M01,255.67,33.4604
2023-01,M01,263.61,25.3853
2023-02,M01,271.32,20.4903
2023-03,M01,269.8,18.7395
2023-04,M01,258.08,11.323
2023-05,M01,248.08,9.7942
2023-06,M01,241.13,5.5782
2023-07,M01,236.61,2.7801
2023-08,M01,244.39,4.4536
2023-09,M01,251.15,5.0397
2023-10,M01,253.89,4.1685
2023-11,M01,252.05,2.1396
2023-12,M01,252.59,-1.2047
2024-01,M01,255.62,-3.031
2024-02,M01,262.06,-3.4129
2024-03,M01,263.23,-2.4351
2024-04,M01,266.7,3.34
2024-05,M01,267.14,7.683
2024-06,M01,271.04,12.4041
2024-07,M01,271.51,14.75
2024-08,M01,262.19,7.2834
2024-09,M01,270.82,7.832
